# theme<TAB>name — one character per line. Lines starting with # are ignored.
politicians	barack obama
politicians	angela merkel
politicians	emmanuel macron
politicians	donald trump
politicians	volodymyr zelensky
politicians	nelson mandela
politicians	winston churchill
politicians	abraham lincoln
politicians	mahatma gandhi
politicians	margaret thatcher
conservatives	charlie kirk
conservatives	ben shapiro
conservatives	donald trump
conservatives	jd vance
conservatives	ron desantis
conservatives	tucker carlson
conservatives	candace owens
conservatives	ted cruz
conservatives	josh hawley
conservatives	marco rubio
conservatives	dan crenshaw
conservatives	dan bongino
conservatives	michael knowles
conservatives	vivek ramaswamy
conservatives	kristi noem
scientists	albert einstein
scientists	marie curie
scientists	nikola tesla
scientists	isaac newton
scientists	charles darwin
scientists	stephen hawking
scientists	alan turing
scientists	niels bohr
scientists	richard feynman
scientists	jane goodall
scientists	ada lovelace
scientists	galileo galilei
scientists	johannes kepler
scientists	max planck
scientists	michael faraday
mythology	zeus
mythology	odin
mythology	thor
mythology	loki
mythology	athena
mythology	apollo
mythology	anubis
mythology	hera
mythology	poseidon
mythology	freya
mythology	hermes
mythology	artemis
mythology	valkyrie
mythology	medusa
mythology	icarus
